Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Global_tilt_photon_irrad Beam_normal_photon_irrad Difuse_horiz_photn_irrad Globl_horizn_photon_flux Dirct_normal_photon_flux Dif_horizntl_photon_flux Global_tiltd_photon_flux
.3350E+03 .9543E+00 .3080E+00 .3729E+00 .6809E+00 .3080E+00 .0000E+00 .2545E+00 .2545E+00 .4292E+14 .5194E+14 .6289E+14 .1039E+17 .4702E+16 .5692E+16 .3885E+16
.3360E+03 .7401E+00 .2422E+00 .3138E+00 .5560E+00 .2422E+00 .0000E+00 .2124E+00 .2124E+00 .3592E+14 .4097E+14 .5307E+14 .8563E+16 .3731E+16 .4833E+16 .3271E+16
.3370E+03 .7531E+00 .2458E+00 .2894E+00 .5352E+00 .2458E+00 .0000E+00 .1980E+00 .1980E+00 .3359E+14 .4170E+14 .4909E+14 .8317E+16 .3820E+16 .4497E+16 .3077E+16
.3380E+03 .8870E+00 .2949E+00 .3442E+00 .6391E+00 .2949E+00 .0000E+00 .2356E+00 .2356E+00 .4009E+14 .5018E+14 .5857E+14 .1002E+17 .4624E+16 .5397E+16 .3694E+16
.3390E+03 .9814E+00 .3312E+00 .4023E+00 .7335E+00 .3312E+00 .0000E+00 .2739E+00 .2739E+00 .4674E+14 .5652E+14 .6866E+14 .1160E+17 .5239E+16 .6364E+16 .4333E+16
.3400E+03 .1134E+01 .3843E+00 .4377E+00 .8220E+00 .3843E+00 .0000E+00 .3002E+00 .3002E+00 .5139E+14 .6577E+14 .7492E+14 .1312E+17 .6132E+16 .6986E+16 .4791E+16
.3410E+03 .9646E+00 .3319E+00 .3947E+00 .7266E+00 .3319E+00 .0000E+00 .2691E+00 .2691E+00 .4620E+14 .5697E+14 .6776E+14 .1170E+17 .5343E+16 .6355E+16 .4333E+16
.3420E+03 .1061E+01 .3691E+00 .4230E+00 .7921E+00 .3691E+00 .0000E+00 .2896E+00 .2896E+00 .4986E+14 .6355E+14 .7283E+14 .1287E+17 .5995E+16 .6870E+16 .4704E+16
.3430E+03 .1085E+01 .3808E+00 .4344E+00 .8152E+00 .3808E+00 .0000E+00 .2974E+00 .2974E+00 .5135E+14 .6575E+14 .7501E+14 .1336E+17 .6240E+16 .7118E+16 .4873E+16
.3440E+03 .7669E+00 .2698E+00 .3223E+00 .5921E+00 .2698E+00 .0000E+00 .2192E+00 .2192E+00 .3797E+14 .4673E+14 .5581E+14 .9786E+16 .4460E+16 .5326E+16 .3624E+16
.3450E+03 .9988E+00 .3571E+00 .3983E+00 .7554E+00 .3571E+00 .0000E+00 .2732E+00 .2732E+00 .4744E+14 .6203E+14 .6917E+14 .1260E+17 .5955E+16 .6641E+16 .4555E+16
.3460E+03 .8646E+00 .3125E+00 .3401E+00 .6526E+00 .3125E+00 .0000E+00 .2339E+00 .2339E+00 .4074E+14 .5443E+14 .5924E+14 .1098E+17 .5256E+16 .5720E+16 .3934E+16
.3470E+03 .1045E+01 .3808E+00 .4117E+00 .7925E+00 .3808E+00 .0000E+00 .2832E+00 .2832E+00 .4947E+14 .6652E+14 .7191E+14 .1344E+17 .6460E+16 .6984E+16 .4804E+16
.3480E+03 .9603E+00 .3533E+00 .3749E+00 .7282E+00 .3533E+00 .0000E+00 .2584E+00 .2584E+00 .4527E+14 .6189E+14 .6568E+14 .1246E+17 .6045E+16 .6416E+16 .4422E+16
.3490E+03 .8882E+00 .3297E+00 .3435E+00 .6732E+00 .3297E+00 .0000E+00 .2372E+00 .2372E+00 .4168E+14 .5792E+14 .6035E+14 .1162E+17 .5690E+16 .5929E+16 .4095E+16
.3500E+03 .1082E+01 .4051E+00 .4175E+00 .8226E+00 .4051E+00 .0000E+00 .2886E+00 .2886E+00 .5085E+14 .7137E+14 .7357E+14 .1432E+17 .7052E+16 .7268E+16 .5024E+16
.3510E+03 .1015E+01 .3827E+00 .3916E+00 .7743E+00 .3827E+00 .0000E+00 .2708E+00 .2708E+00 .4786E+14 .6762E+14 .6920E+14 .1360E+17 .6719E+16 .6877E+16 .4755E+16
.3520E+03 .1054E+01 .4005E+00 .4075E+00 .8080E+00 .4005E+00 .0000E+00 .2819E+00 .2819E+00 .4995E+14 .7097E+14 .7221E+14 .1431E+17 .7092E+16 .7216E+16 .4991E+16
.3530E+03 .1033E+01 .3960E+00 .3951E+00 .7912E+00 .3960E+00 .0000E+00 .2739E+00 .2739E+00 .4868E+14 .7038E+14 .7022E+14 .1413E+17 .7073E+16 .7057E+16 .4892E+16
.3540E+03 .1144E+01 .4415E+00 .4337E+00 .8752E+00 .4415E+00 .0000E+00 .3012E+00 .3012E+00 .5367E+14 .7867E+14 .7729E+14 .1576E+17 .7952E+16 .7812E+16 .5425E+16
.3550E+03 .1153E+01 .4483E+00 .4364E+00 .8847E+00 .4483E+00 .0000E+00 .3033E+00 .3033E+00 .5420E+14 .8011E+14 .7799E+14 .1607E+17 .8143E+16 .7927E+16 .5509E+16
.3560E+03 .1085E+01 .4256E+00 .4097E+00 .8353E+00 .4256E+00 .0000E+00 .2850E+00 .2850E+00 .5108E+14 .7628E+14 .7342E+14 .1530E+17 .7797E+16 .7505E+16 .5221E+16
.3570E+03 .7640E+00 .3017E+00 .2873E+00 .5889E+00 .3017E+00 .0000E+00 .2001E+00 .2001E+00 .3595E+14 .5422E+14 .5163E+14 .1088E+17 .5573E+16 .5307E+16 .3696E+16
.3580E+03 .7396E+00 .2940E+00 .2767E+00 .5707E+00 .2940E+00 .0000E+00 .1929E+00 .1929E+00 .3477E+14 .5299E+14 .4987E+14 .1063E+17 .5477E+16 .5155E+16 .3594E+16
.3590E+03 .8821E+00 .3530E+00 .3287E+00 .6817E+00 .3530E+00 .0000E+00 .2294E+00 .2294E+00 .4146E+14 .6379E+14 .5941E+14 .1281E+17 .6631E+16 .6176E+16 .4310E+16
.3600E+03 .1189E+01 .4787E+00 .4418E+00 .9205E+00 .4787E+00 .0000E+00 .3086E+00 .3086E+00 .5593E+14 .8675E+14 .8007E+14 .1744E+17 .9068E+16 .8370E+16 .5846E+16
.3610E+03 .8633E+00 .3501E+00 .3194E+00 .6695E+00 .3501E+00 .0000E+00 .2234E+00 .2234E+00 .4059E+14 .6363E+14 .5804E+14 .1279E+17 .6688E+16 .6101E+16 .4266E+16
.3620E+03 .8532E+00 .3492E+00 .3156E+00 .6648E+00 .3492E+00 .0000E+00 .2209E+00 .2209E+00 .4026E+14 .6363E+14 .5752E+14 .1281E+17 .6726E+16 .6080E+16 .4255E+16
.3630E+03 .1054E+01 .4349E+00 .3897E+00 .8246E+00 .4349E+00 .0000E+00 .2730E+00 .2730E+00 .4988E+14 .7947E+14 .7121E+14 .1601E+17 .8446E+16 .7568E+16 .5301E+16
.3640E+03 .1181E+01 .4910E+00 .4360E+00 .9271E+00 .4910E+00 .0000E+00 .3057E+00 .3057E+00 .5602E+14 .8998E+14 .7990E+14 .1815E+17 .9616E+16 .8539E+16 .5986E+16
.3650E+03 .1025E+01 .4289E+00 .3772E+00 .8061E+00 .4289E+00 .0000E+00 .2647E+00 .2647E+00 .4864E+14 .7880E+14 .6931E+14 .1591E+17 .8467E+16 .7448E+16 .5226E+16
.3660E+03 .1357E+01 .5719E+00 .4983E+00 .1070E+01 .5719E+00 .0000E+00 .3500E+00 .3500E+00 .6449E+14 .1054E+15 .9182E+14 .2131E+17 .1139E+17 .9920E+16 .6967E+16
.3670E+03 .1237E+01 .5247E+00 .4528E+00 .9775E+00 .5247E+00 .0000E+00 .3183E+00 .3183E+00 .5881E+14 .9694E+14 .8365E+14 .1962E+17 .1053E+17 .9087E+16 .6389E+16
.3680E+03 .1120E+01 .4778E+00 .4082E+00 .8860E+00 .4778E+00 .0000E+00 .2873E+00 .2873E+00 .5322E+14 .8851E+14 .7562E+14 .1793E+17 .9668E+16 .8260E+16 .5813E+16
.3690E+03 .1216E+01 .5224E+00 .4424E+00 .9648E+00 .5224E+00 .0000E+00 .3116E+00 .3116E+00 .5789E+14 .9703E+14 .8219E+14 .1968E+17 .1066E+17 .9026E+16 .6357E+16
.3700E+03 .1377E+01 .5957E+00 .5001E+00 .1096E+01 .5957E+00 .0000E+00 .3525E+00 .3525E+00 .6566E+14 .1110E+15 .9314E+14 .2254E+17 .1225E+17 .1028E+17 .7250E+16
.3710E+03 .1138E+01 .4955E+00 .4123E+00 .9078E+00 .4955E+00 .0000E+00 .2909E+00 .2909E+00 .5433E+14 .9255E+14 .7700E+14 .1882E+17 .1027E+17 .8549E+16 .6031E+16
.3720E+03 .9428E+00 .4129E+00 .3403E+00 .7532E+00 .4129E+00 .0000E+00 .2403E+00 .2403E+00 .4500E+14 .7732E+14 .6372E+14 .1574E+17 .8630E+16 .7112E+16 .5023E+16
.3730E+03 .1146E+01 .5050E+00 .4126E+00 .9176E+00 .5050E+00 .0000E+00 .2916E+00 .2916E+00 .5476E+14 .9483E+14 .7747E+14 .1933E+17 .1064E+17 .8693E+16 .6145E+16
.3740E+03 .1080E+01 .4788E+00 .3878E+00 .8666E+00 .4788E+00 .0000E+00 .2743E+00 .2743E+00 .5165E+14 .9015E+14 .7301E+14 .1841E+17 .1017E+17 .8237E+16 .5827E+16
.3750E+03 .8666E+00 .3866E+00 .3103E+00 .6969E+00 .3866E+00 .0000E+00 .2198E+00 .2198E+00 .4149E+14 .7298E+14 .5859E+14 .1492E+17 .8278E+16 .6645E+16 .4705E+16
.3760E+03 .1071E+01 .4801E+00 .3818E+00 .8619E+00 .4801E+00 .0000E+00 .2706E+00 .2706E+00 .5122E+14 .9088E+14 .7226E+14 .1860E+17 .1036E+17 .8240E+16 .5841E+16
.3770E+03 .1172E+01 .5284E+00 .4165E+00 .9448E+00 .5284E+00 .0000E+00 .2955E+00 .2955E+00 .5608E+14 .1003E+15 .7904E+14 .2056E+17 .1150E+17 .9060E+16 .6428E+16
.3780E+03 .1483E+01 .6723E+00 .5251E+00 .1197E+01 .6723E+00 .0000E+00 .3729E+00 .3729E+00 .7096E+14 .1279E+15 .9992E+14 .2626E+17 .1474E+17 .1152E+17 .8178E+16
